x,y,y_fit
0.0,-0.09493061130232494,6.533958596716383
1.0,13.2216532187735,7.945507002653489
2.0,11.527489474807478,9.357055408590595
3.0,11.588546265021968,10.768603814527701
4.0,9.095683203806015,12.180152220464809
5.0,10.614557243451335,13.591700626401913
6.0,14.804137516902303,15.00324903233902
7.0,16.62639663387885,16.414797438276125
8.0,24.892152216581923,17.826345844213233
9.0,20.56353925355297,19.23789425015034
10.0,22.76003628609357,20.649442656087444
11.0,14.799493177754133,22.06099106202455
12.0,20.214745912689494,23.47253946796166
13.0,33.565729125429186,24.884087873898764
14.0,22.393549559117282,26.29563627983587
15.0,29.59575336605032,27.707184685772972
16.0,32.543087051789286,29.118733091710084
17.0,23.88818999852502,30.530281497647188
18.0,33.89982121782478,31.941829903584292
19.0,33.1721619828647,33.3533783095214
20.0,33.96650368422463,34.76492671545851
